prompt-type,target-name,avg-fid,avg-clip
forest,clock,2609.2084579137736,0.10436046123504639
forest,wolf,2222.790509633778,0.16731414198875427
forest,wallet,3558.412633589367,0.09448521584272385
forest,car,3024.717127167285,0.139655202627182
forest,bottle,3034.244294051561,0.12456842511892319
forest,backpack,3115.7051932556205,0.2520633339881897
forest,cat,2888.9073473960307,0.11127953976392746
forest,teapot,2589.5112757703755,0.16219373047351837
forest,duck,3112.8002566844807,0.1431281864643097
forest,llama,3470.566298738122,0.07327257841825485
forest,overall,2962.6863394200395,0.13723208159208297
city,clock,2154.687276775847,0.16145677864551544
city,wolf,2314.576921391432,0.12224016338586807
city,wallet,2814.481990517248,0.08296079933643341
city,car,1877.3480756236822,0.1638796329498291
city,bottle,2150.167706468972,0.04497326537966728
city,backpack,2664.82237585682,0.17593227326869965
city,cat,2553.3232683874667,0.08895506709814072
city,teapot,2485.951503444361,0.15067319571971893
city,duck,1985.2750582517037,0.13312813639640808
city,llama,2437.879424982704,0.09703107178211212
city,overall,2343.851360170024,0.12212303839623928
desert,clock,2345.1917349311443,0.11437149345874786
desert,wolf,1861.4735294836319,0.13216866552829742
desert,wallet,2911.8582723327127,0.05975956842303276
desert,car,2010.0089710660723,0.1484384834766388
desert,bottle,2185.557372734431,0.09265106916427612
desert,backpack,2302.1623768097634,0.09880543500185013
desert,cat,2782.119921579957,0.09474815428256989
desert,teapot,2327.384732697159,0.1006283313035965
desert,duck,2266.364875625135,0.13240210711956024
desert,llama,2507.0338687077747,0.11734548956155777
desert,overall,2349.915565596778,0.10913187973201274
painting,clock,2293.2695581552143,0.09772586077451706
painting,wolf,1966.30997004878,0.09249424934387207
painting,wallet,2121.4035087723896,0.09909024834632874
painting,car,2475.6357736592327,0.1312316507101059
painting,bottle,2098.667755378643,0.08949444442987442
painting,backpack,2190.0943784934097,0.11540132015943527
painting,cat,2329.444885060904,0.14618001878261566
painting,teapot,1768.0749576980343,0.15171322226524353
painting,duck,1994.9216743707402,0.08933468163013458
painting,llama,2383.4998680127064,0.09587224572896957
painting,overall,2162.1322329650056,0.11085379421710968
field,clock,2249.1531885187724,0.08904118090867996
field,wolf,1403.3202082059724,0.15302054584026337
field,wallet,2330.6081657507602,0.0661136731505394
field,car,2199.4206442246214,0.16808561980724335
field,bottle,1974.1721414961503,0.1136203184723854
field,backpack,2504.2313639039785,0.1427154839038849
field,cat,2206.410497122444,0.0816655158996582
field,teapot,2059.7818717561313,0.1615917682647705
field,duck,1983.4793818583457,0.13793039321899414
field,llama,2115.97004908674,0.08603432774543762
field,overall,2102.654751192392,0.11998188272118568
elmo,clock,2102.124210357666,0.11969681829214096
elmo,wolf,1331.0100962083416,0.23902557790279388
elmo,wallet,2073.274619578515,0.11624904721975327
elmo,car,2046.8603779481527,0.15964126586914062
elmo,bottle,1960.5672016792378,0.15176215767860413
elmo,backpack,2277.370767454282,0.10240475088357925
elmo,cat,1813.6671106815338,0.2190742939710617
elmo,teapot,2069.7942106353585,0.12998466193675995
elmo,duck,1914.5466374774114,0.24868199229240417
elmo,llama,1248.7629197879141,0.20514312386512756
elmo,overall,1883.7978151808413,0.16916636899113655
kitchen,clock,2153.8496856773854,0.12102729082107544
kitchen,wolf,1705.480122540379,0.10831677913665771
kitchen,wallet,1951.2821990815573,0.10093823820352554
kitchen,car,2560.4305080952035,0.09730860590934753
kitchen,bottle,1674.5124582076096,0.10861004889011383
kitchen,backpack,2499.431289312488,0.14605052769184113
kitchen,cat,2385.0571276136325,0.09611424058675766
kitchen,teapot,1683.1655690523949,0.14879880845546722
kitchen,duck,2057.040962945728,0.10084962844848633
kitchen,llama,2158.841295633465,0.09654392302036285
kitchen,overall,2082.9091218159842,0.11245580911636352
bedroom,clock,1921.8828750434914,0.21644620597362518
bedroom,wolf,1495.789392709732,0.10352054983377457
bedroom,wallet,1566.7270240979851,0.08825767040252686
bedroom,car,1938.5379760464566,0.13088063895702362
bedroom,bottle,1619.2378048433457,0.09460330009460449
bedroom,backpack,2110.9105000624113,0.18374542891979218
bedroom,cat,2337.655828491799,0.08792414516210556
bedroom,teapot,1681.3584723268323,0.14321939647197723
bedroom,duck,1798.3236171133467,0.08618507534265518
bedroom,llama,1937.075601990582,0.12305494397878647
bedroom,overall,1840.7499092725982,0.12578373551368713
forest_painting,clock,2711.226434741169,0.08933398127555847
forest_painting,wolf,2079.8689935364673,0.10997439920902252
forest_painting,wallet,2909.303489002923,0.08160414546728134
forest_painting,car,2577.5644710967317,0.1177712231874466
forest_painting,bottle,2425.1068903636333,0.07585790008306503
forest_painting,backpack,2428.5072057606303,0.12905554473400116
forest_painting,cat,2504.3995417049737,0.16241316497325897
forest_painting,teapot,2129.318050491016,0.11696002632379532
forest_painting,duck,2443.5768018007657,0.07166542112827301
forest_painting,llama,2754.1037820894853,0.06886928528547287
forest_painting,overall,2496.2975660587795,0.10235050916671753
edit,overall,2247.221629074716,0.12323101104961502
