prompt-type,target-name,avg-fid,avg-clip
basic,clock,-15.479423522949219,0.49220365285873413
basic,wolf,-5.861804962158203,0.5604346394538879
basic,wallet,-6.071832656860352,0.6749353408813477
basic,car,-10.47713851928711,0.5201640129089355
basic,bottle,-4.7596235275268555,0.6745615005493164
basic,backpack,-13.012508392333984,0.6136356592178345
basic,cat,-15.027236938476562,0.6203951835632324
basic,teapot,-11.135621070861816,0.5659320950508118
basic,duck,-12.840532302856445,0.6560968160629272
basic,llama,-11.388591766357422,0.6644282341003418
basic,overall,-10.605431365966798,0.6042787134647369
forest,clock,-15.190885543823242,0.6226441860198975
forest,wolf,-14.174880027770996,0.6376821398735046
forest,wallet,-25.99296760559082,0.5961973071098328
forest,car,-29.586360931396484,0.5344793200492859
forest,bottle,-21.459823608398438,0.5481764674186707
forest,backpack,-36.34684753417969,0.5947255492210388
forest,cat,-9.814074516296387,0.6363447904586792
forest,teapot,-26.50499153137207,0.4638827443122864
forest,duck,-18.602554321289062,0.6591545939445496
forest,llama,-22.11337661743164,0.6104719638824463
forest,overall,-21.97867622375488,0.5903759062290191
city,clock,-18.99837875366211,0.42210301756858826
city,wolf,-22.174171447753906,0.4780215322971344
city,wallet,-25.650293350219727,0.49623021483421326
city,car,-20.33586311340332,0.4422893524169922
city,bottle,-17.67133331298828,0.4586753845214844
city,backpack,-22.204557418823242,0.469489187002182
city,cat,-18.537431716918945,0.4799889624118805
city,teapot,-25.200115203857422,0.4549379050731659
city,duck,-24.380765914916992,0.4230237603187561
city,llama,-16.23172378540039,0.47498416900634766
city,overall,-21.138463401794432,0.45997434854507446
desert,clock,-24.083309173583984,0.4698604643344879
desert,wolf,-17.597187042236328,0.5242655277252197
desert,wallet,-19.78246307373047,0.46813488006591797
desert,car,-20.222515106201172,0.4902952313423157
desert,bottle,-17.478473663330078,0.4865739941596985
desert,backpack,-27.86678695678711,0.3985753059387207
desert,cat,-24.925132751464844,0.46062928438186646
desert,teapot,-25.404611587524414,0.4733290672302246
desert,duck,-21.0985050201416,0.47858139872550964
desert,llama,-22.274654388427734,0.5009331107139587
desert,overall,-22.073363876342775,0.475117826461792
painting,clock,-20.445465087890625,0.4451103210449219
painting,wolf,-21.27031898498535,0.41384172439575195
painting,wallet,-30.754566192626953,0.32234734296798706
painting,car,-27.608736038208008,0.391827791929245
painting,bottle,-19.420955657958984,0.415698379278183
painting,backpack,-18.578664779663086,0.3946472108364105
painting,cat,-22.429214477539062,0.394208699464798
painting,teapot,-23.43819236755371,0.4308744966983795
painting,duck,-22.71684455871582,0.41794416308403015
painting,llama,-18.624744415283203,0.39798447489738464
painting,overall,-22.52877025604248,0.40244846045970917
field,clock,-16.421974182128906,0.49713441729545593
field,wolf,-17.380138397216797,0.4197479784488678
field,wallet,-17.762916564941406,0.4194585978984833
field,car,-15.243614196777344,0.4203836917877197
field,bottle,-20.64748191833496,0.4594002664089203
field,backpack,-16.865367889404297,0.5178448557853699
field,cat,-16.775245666503906,0.4433302879333496
field,teapot,-15.883943557739258,0.4306739866733551
field,duck,-15.11978816986084,0.35316216945648193
field,llama,-22.413726806640625,0.44543811678886414
field,overall,-17.451419734954833,0.44065743684768677
elmo,clock,-16.30202865600586,0.5440123677253723
elmo,wolf,-11.564411163330078,0.6133790016174316
elmo,wallet,-12.369451522827148,0.5739536881446838
elmo,car,-18.704500198364258,0.541550874710083
elmo,bottle,-12.073102951049805,0.6006144881248474
elmo,backpack,-15.037069320678711,0.4875364899635315
elmo,cat,-15.97468090057373,0.5616574883460999
elmo,teapot,-15.811342239379883,0.6053912043571472
elmo,duck,-11.724455833435059,0.6344102025032043
elmo,llama,-16.421079635620117,0.5933161377906799
elmo,overall,-14.598212242126465,0.5755821943283081
kitchen,clock,-8.135594367980957,0.5603592395782471
kitchen,wolf,-4.985807418823242,0.686264157295227
kitchen,wallet,-3.658297061920166,0.7322573661804199
kitchen,car,-5.146561622619629,0.6649478077888489
kitchen,bottle,-5.870216369628906,0.6585657000541687
kitchen,backpack,-6.517439842224121,0.5896081924438477
kitchen,cat,-13.232833862304688,0.5707262754440308
kitchen,teapot,-11.492719650268555,0.6034800410270691
kitchen,duck,-7.122714042663574,0.657859206199646
kitchen,llama,-5.931332588195801,0.718385636806488
kitchen,overall,-7.209351682662964,0.6442453622817993
bedroom,clock,-5.936208248138428,0.6250733733177185
bedroom,wolf,-6.355794906616211,0.5662674903869629
bedroom,wallet,-5.232144832611084,0.5932506918907166
bedroom,car,-5.714202404022217,0.5850508809089661
bedroom,bottle,-7.302669048309326,0.6030094027519226
bedroom,backpack,-8.956575393676758,0.5804653763771057
bedroom,cat,-8.914396286010742,0.5411635637283325
bedroom,teapot,-8.58131217956543,0.548956573009491
bedroom,duck,-9.479759216308594,0.5996144413948059
bedroom,llama,-7.563515663146973,0.5911356210708618
bedroom,overall,-7.4036578178405765,0.5833987414836883
forest_painting,clock,-24.527402877807617,0.5848857164382935
forest_painting,wolf,-24.880552291870117,0.5161131024360657
forest_painting,wallet,-18.525718688964844,0.5951820015907288
forest_painting,car,-20.677520751953125,0.5540165305137634
forest_painting,bottle,-22.712902069091797,0.5997665524482727
forest_painting,backpack,-20.17034912109375,0.5419523119926453
forest_painting,cat,-30.252681732177734,0.5837129354476929
forest_painting,teapot,-21.30645751953125,0.5675137639045715
forest_painting,duck,-25.825794219970703,0.5996876358985901
forest_painting,llama,-24.97323226928711,0.6090796589851379
forest_painting,overall,-23.385261154174806,0.5751910209655762
edit,overall,-17.52968626552158,0.5274434775114059
