prompt-type,target-name,avg-fid,avg-clip
basic,clock,874.1645341372387,0.38193854689598083
basic,wolf,1571.9659037500533,0.24262838065624237
basic,wallet,689.9999942197792,0.3881382942199707
basic,car,1466.856783509269,0.15276549756526947
basic,bottle,823.2797819903972,0.3353433907032013
basic,backpack,845.6918309830953,0.5252029895782471
basic,cat,2017.155288770853,0.2665313482284546
basic,teapot,979.5453780109274,0.4580991268157959
basic,duck,1421.3681559124961,0.3884444236755371
basic,llama,1862.8796511940309,0.13375192880630493
basic,overall,1255.2907302478138,0.32728439271450044
forest,clock,2669.8180293287296,0.27353307604789734
forest,wolf,2409.2777610449702,0.2740268409252167
forest,wallet,2722.0898822836025,0.23519931733608246
forest,car,2523.798094856218,0.317764014005661
forest,bottle,2670.3263334516087,0.33618760108947754
forest,backpack,2610.4707929827273,0.3329344391822815
forest,cat,3312.4542223578464,0.18651922047138214
forest,teapot,2364.3286301055923,0.29334917664527893
forest,duck,2551.8963805397652,0.2811692953109741
forest,llama,2538.655887503075,0.25084105134010315
forest,overall,2637.3116014454135,0.2781524032354355
city,clock,1653.1615434036503,0.20709188282489777
city,wolf,2253.4779826608137,0.18997186422348022
city,wallet,2569.8216751748696,0.14194561541080475
city,car,1609.5708515665028,0.28504592180252075
city,bottle,2382.777927833391,0.16202442348003387
city,backpack,2520.7150716334727,0.2016608715057373
city,cat,2433.0119940249715,0.19862008094787598
city,teapot,2455.1996996990056,0.15125532448291779
city,duck,2513.9613838207188,0.2100180685520172
city,llama,2159.221664347686,0.1699344962835312
city,overall,2255.0919794165084,0.19175685495138167
desert,clock,2440.419118685797,0.28728964924812317
desert,wolf,1721.8912550251735,0.29676395654678345
desert,wallet,2036.9399146960968,0.25457438826560974
desert,car,1821.5988041863347,0.35082271695137024
desert,bottle,1883.8168853285642,0.32986322045326233
desert,backpack,2337.891605451532,0.30163484811782837
desert,cat,2625.5217609383544,0.2765880227088928
desert,teapot,2384.423883363619,0.3188316226005554
desert,duck,1882.2265625053587,0.244401216506958
desert,llama,2187.2473735986314,0.3157585561275482
desert,overall,2132.197716377946,0.2976528197526932
painting,clock,1783.5764951417223,0.1813805103302002
painting,wolf,1801.7863358818577,0.1988101452589035
painting,wallet,2297.9837621943007,0.15798434615135193
painting,car,2137.2293756264407,0.23908782005310059
painting,bottle,1961.6025541056333,0.30570170283317566
painting,backpack,1744.847750378438,0.23243971168994904
painting,cat,1742.9361749971868,0.23191599547863007
painting,teapot,1871.596840375816,0.23699675500392914
painting,duck,1904.1565019695554,0.23001673817634583
painting,llama,1843.889622788076,0.21539853513240814
painting,overall,1908.9605413459026,0.2229732260107994
field,clock,1426.835724966193,0.22904334962368011
field,wolf,1676.74577949601,0.1656145453453064
field,wallet,1835.5701554360712,0.20281429588794708
field,car,1402.7038648708258,0.24295282363891602
field,bottle,1523.2952522890155,0.32428795099258423
field,backpack,1837.0706125470024,0.26440224051475525
field,cat,1759.5442674668157,0.2391447275876999
field,teapot,1721.3810063370656,0.2757072448730469
field,duck,1395.5412166190945,0.1920291781425476
field,llama,1826.712192510433,0.20649337768554688
field,overall,1640.5400072538528,0.23424897342920303
elmo,clock,1571.4001466790214,0.39574381709098816
elmo,wolf,994.1380128305791,0.3998996913433075
elmo,wallet,1786.2402682007669,0.3376785218715668
elmo,car,1887.1300915139764,0.45994359254837036
elmo,bottle,1000.4871712156901,0.4850328862667084
elmo,backpack,2117.8824147062987,0.2110579013824463
elmo,cat,1660.1829543349195,0.2604534327983856
elmo,teapot,1463.1256091447467,0.47313156723976135
elmo,duck,1140.1680657250254,0.41745835542678833
elmo,llama,1322.0947829642719,0.3840499520301819
elmo,overall,1494.2849517315294,0.3824449717998505
kitchen,clock,1293.6001434560203,0.12758341431617737
kitchen,wolf,1585.0949546867378,0.1751534789800644
kitchen,wallet,1760.856782549541,0.1049162745475769
kitchen,car,1353.67806964567,0.3324182629585266
kitchen,bottle,1358.979823562,0.19871830940246582
kitchen,backpack,1516.2661306069676,0.17315638065338135
kitchen,cat,1710.546542952714,0.1948130875825882
kitchen,teapot,1777.5282293083728,0.21634279191493988
kitchen,duck,2127.002783418633,0.17652302980422974
kitchen,llama,1276.8067211474154,0.1575842946767807
kitchen,overall,1576.0360181334072,0.1857209324836731
bedroom,clock,1175.6168649327155,0.3204413056373596
bedroom,wolf,1309.1623456748348,0.26478642225265503
bedroom,wallet,1442.7420701319352,0.10482897609472275
bedroom,car,870.2098060099897,0.43755990266799927
bedroom,bottle,1838.5962852080265,0.21781976521015167
bedroom,backpack,1462.7376633891836,0.3165724277496338
bedroom,cat,1557.368615921252,0.22327733039855957
bedroom,teapot,1837.9220700860023,0.31223535537719727
bedroom,duck,1389.9836201229518,0.3122115135192871
bedroom,llama,1375.717267565462,0.23935683071613312
bedroom,overall,1426.0056609042354,0.27490898296236993
forest_painting,clock,2066.349508301413,0.3266453146934509
forest_painting,wolf,2213.5654374237783,0.2768082320690155
forest_painting,wallet,2050.163548793076,0.41083112359046936
forest_painting,car,2354.7062203048263,0.40549716353416443
forest_painting,bottle,1899.332701727646,0.3971245586872101
forest_painting,backpack,2042.3147259811085,0.37701866030693054
forest_painting,cat,2374.2136927247047,0.26019033789634705
forest_painting,teapot,2120.372721117692,0.34139710664749146
forest_painting,duck,2479.466973947594,0.31212911009788513
forest_painting,llama,2552.581022929113,0.2881571650505066
forest_painting,overall,2215.306655325095,0.3395798772573471
edit,overall,1920.6372368815432,0.26749322687586147
