prompt-type,target-name,avg-fid,avg-clip
forest,clock,3260.5016975263134,0.12245812267065048
forest,wolf,2699.263029547932,0.15740837156772614
forest,wallet,3485.67438080773,0.06663721799850464
forest,car,2723.1106347087916,0.12152030318975449
forest,bottle,2765.5592299793498,0.1147666722536087
forest,backpack,2444.579788522111,0.229246124625206
forest,cat,3426.797352439389,0.13216577470302582
forest,teapot,2759.9268873665133,0.1530023068189621
forest,duck,3040.830628400261,0.11691667139530182
forest,llama,3153.0373898579273,0.09713304042816162
forest,overall,2975.928101915632,0.13112546056509017
city,clock,2399.0524403825984,0.12635624408721924
city,wolf,2449.3381605480245,0.11764969676733017
city,wallet,2958.740961071235,0.04398275539278984
city,car,2476.303114025912,0.07770633697509766
city,bottle,2839.6872629887075,0.03399336338043213
city,backpack,2831.7965384891722,0.14974306523799896
city,cat,2590.68877090147,0.07133631408214569
city,teapot,2855.3046206871513,0.16124756634235382
city,duck,2418.2531886382494,0.10431366413831711
city,llama,2895.0921459165984,0.11151828616857529
city,overall,2671.4257203649117,0.099784729257226
desert,clock,2464.391698326581,0.132582888007164
desert,wolf,2190.233875141028,0.1409938484430313
desert,wallet,2589.863566989603,0.05979297310113907
desert,car,2266.6932312223507,0.1392536759376526
desert,bottle,2102.8907878854225,0.1051262840628624
desert,backpack,2173.1706001593266,0.1175915002822876
desert,cat,2698.5138333451614,0.08896666020154953
desert,teapot,2458.8204579773737,0.09848711639642715
desert,duck,2275.3446035457455,0.11911862343549728
desert,llama,2752.059325877577,0.1122899278998375
desert,overall,2397.198198047017,0.11142034977674484
painting,clock,2325.904326037562,0.09187228232622147
painting,wolf,2357.8584785196144,0.0879630595445633
painting,wallet,2506.714677658878,0.10353340953588486
painting,car,2235.2965301815566,0.12489872425794601
painting,bottle,2174.5846584323444,0.07928700000047684
painting,backpack,2498.9660545757506,0.0877673402428627
painting,cat,2069.771704818184,0.1326557844877243
painting,teapot,2256.933680041242,0.12489166110754013
painting,duck,2083.196020587595,0.12496711313724518
painting,llama,2435.4390352383634,0.10920526832342148
painting,overall,2294.466516609109,0.10670416429638863
field,clock,2316.195033141412,0.12073013931512833
field,wolf,1491.8255856646138,0.09874796122312546
field,wallet,2353.6944104963914,0.05016369745135307
field,car,1782.4726844301076,0.1200629472732544
field,bottle,2080.225125820376,0.0833977460861206
field,backpack,1879.304216615914,0.15986375510692596
field,cat,2209.4027788593085,0.09785934537649155
field,teapot,1609.5533324433818,0.1512645035982132
field,duck,1996.360841011643,0.1792687177658081
field,llama,1873.58487525495,0.09167037159204483
field,overall,1959.2618883738098,0.11530291847884655
elmo,clock,1886.5673113650555,0.0789140835404396
elmo,wolf,1340.9056048160564,0.1652715653181076
elmo,wallet,2543.4164106363896,0.0700070783495903
elmo,car,1703.3288871693076,0.15060777962207794
elmo,bottle,1924.6180044348002,0.09688889980316162
elmo,backpack,2189.23778986471,0.09102098643779755
elmo,cat,1697.5861709621386,0.1411897987127304
elmo,teapot,1947.664820788952,0.09558771550655365
elmo,duck,1704.293901707104,0.1979037970304489
elmo,llama,1559.090717091749,0.12326202541589737
elmo,overall,1849.6709618836262,0.1210653729736805
kitchen,clock,2266.3032157460693,0.09686398506164551
kitchen,wolf,1811.0989360187814,0.08293759822845459
kitchen,wallet,1855.4986728584772,0.11233409494161606
kitchen,car,2365.491298139328,0.0769410952925682
kitchen,bottle,1814.7227287130809,0.10709782689809799
kitchen,backpack,2339.730532163987,0.132114976644516
kitchen,cat,2550.4260070184246,0.08279430121183395
kitchen,teapot,1607.6116921729554,0.13854685425758362
kitchen,duck,2144.1033153424505,0.10034563392400742
kitchen,llama,2036.3499861998134,0.07762797921895981
kitchen,overall,2079.1336384373367,0.10076043456792831
bedroom,clock,1947.5610022869805,0.16708707809448242
bedroom,wolf,1596.4356019790866,0.08616045862436295
bedroom,wallet,1849.7963386192569,0.08502732962369919
bedroom,car,1972.9796600962436,0.11916935443878174
bedroom,bottle,1694.041365398807,0.06593073904514313
bedroom,backpack,2181.006722117905,0.13838259875774384
bedroom,cat,2206.61584944115,0.07442139834165573
bedroom,teapot,1568.8220419716235,0.15578633546829224
bedroom,duck,1957.9131782958284,0.11564735323190689
bedroom,llama,1809.4421398083214,0.09882398694753647
bedroom,overall,1878.4613900015204,0.11064366325736046
forest_painting,clock,2700.154217461488,0.08281330019235611
forest_painting,wolf,2445.66701863824,0.10198245197534561
forest_painting,wallet,2698.8336396380473,0.05895547196269035
forest_painting,car,2449.682569701283,0.1014980673789978
forest_painting,bottle,2169.2015656012954,0.09665846824645996
forest_painting,backpack,2629.8394490777428,0.11084065586328506
forest_painting,cat,2644.702397968402,0.11934097111225128
forest_painting,teapot,2440.536119775279,0.08943565934896469
forest_painting,duck,2446.137465209482,0.007922347635030746
forest_painting,llama,2746.0555538909975,0.04460854455828667
forest_painting,overall,2537.0809996962257,0.08140559382736683
edit,overall,2293.6252683699104,0.10869029855562579
