prompt-type,target-name,avg-fid,avg-clip
basic,clock,891.889634298147,0.450376033782959
basic,wolf,599.1609296586976,0.44034549593925476
basic,wallet,954.2770944131189,0.3975294232368469
basic,car,1160.0983227494035,0.37794119119644165
basic,bottle,599.9197702248384,0.46851062774658203
basic,backpack,913.3465984748045,0.4522433876991272
basic,cat,1138.1779719650258,0.4164583086967468
basic,teapot,1030.6863687071163,0.4863773286342621
basic,duck,966.1128038329225,0.5858249664306641
basic,llama,1238.8484363501339,0.37405145168304443
basic,overall,949.2517930674209,0.4449658215045929
forest,clock,3271.057914898731,0.10153205692768097
forest,wolf,2706.0114029238466,0.2807227075099945
forest,wallet,3642.2074511093233,0.07467573136091232
forest,car,2374.6334204215236,0.30957600474357605
forest,bottle,2842.523776418122,0.1229412779211998
forest,backpack,2250.9783096439787,0.36385807394981384
forest,cat,2466.4310549335933,0.2723354697227478
forest,teapot,3053.380780264968,0.2005896121263504
forest,duck,2732.561853317675,0.22510293126106262
forest,llama,3268.662521276623,0.08101166784763336
forest,overall,2860.8448485208382,0.20323455333709717
city,clock,1953.2915718175973,0.12720473110675812
city,wolf,2042.9970289748744,0.1678263247013092
city,wallet,2847.752735576185,0.12491700798273087
city,car,2278.639692145458,0.09788905829191208
city,bottle,2698.818779939378,0.12007055431604385
city,backpack,2372.3664555335417,0.11943528801202774
city,cat,2172.886447254161,0.22796444594860077
city,teapot,2449.035975176739,0.10018811374902725
city,duck,2897.9612401847407,0.13098464906215668
city,llama,2772.939422655909,0.09053819626569748
city,overall,2448.6689349258586,0.13070183694362641
desert,clock,2445.0831445904914,0.1164500042796135
desert,wolf,2333.498110677363,0.22074492275714874
desert,wallet,2733.7763620793266,0.12571433186531067
desert,car,1780.0729823329057,0.3064945340156555
desert,bottle,2356.513543341556,0.14299876987934113
desert,backpack,2769.948095881904,0.1364193856716156
desert,cat,2149.3320419740376,0.28109344840049744
desert,teapot,2551.6443979677424,0.16073016822338104
desert,duck,2512.251069672464,0.221821591258049
desert,llama,2608.580115092045,0.1819782555103302
desert,overall,2424.0699863609834,0.18944454118609427
painting,clock,2046.273482560795,0.23091621696949005
painting,wolf,2031.8813890781348,0.22104933857917786
painting,wallet,2090.826180572054,0.12409301102161407
painting,car,2030.0200679213885,0.1939893364906311
painting,bottle,2382.3569126609364,0.24701665341854095
painting,backpack,2691.684174513797,0.23367957770824432
painting,cat,2325.1031057518558,0.20904098451137543
painting,teapot,2195.160061372342,0.21212220191955566
painting,duck,2044.3985691611306,0.13578389585018158
painting,llama,1895.9651788190276,0.1399119645357132
painting,overall,2173.366912241146,0.1947603181004524
field,clock,1590.6302276998904,0.10411243885755539
field,wolf,1546.0702809650138,0.19402116537094116
field,wallet,2088.4777355765837,0.05945959314703941
field,car,1968.6571772868192,0.13113968074321747
field,bottle,2030.937301257174,0.12336508184671402
field,backpack,2616.6632109433995,0.1769045889377594
field,cat,1985.617659345502,0.17361974716186523
field,teapot,1909.594673940479,0.13854585587978363
field,duck,2325.6619111676846,0.14926962554454803
field,llama,2034.542654962177,0.10121094435453415
field,overall,2009.6852833144724,0.1351648721843958
elmo,clock,1571.957905646068,0.3616427481174469
elmo,wolf,1359.3755864435807,0.23008142411708832
elmo,wallet,1474.2901890602407,0.43952351808547974
elmo,car,1968.902785795799,0.18647275865077972
elmo,bottle,1292.2046498230193,0.34532999992370605
elmo,backpack,1635.4875741180185,0.3028084635734558
elmo,cat,1357.234509288308,0.32218319177627563
elmo,teapot,1641.106591213509,0.4145691990852356
elmo,duck,1506.5270851227433,0.320430725812912
elmo,llama,1744.3740331489244,0.2854861617088318
elmo,overall,1555.1460909660211,0.32085281908512114
kitchen,clock,1726.2348654966481,0.10179686546325684
kitchen,wolf,1655.6401670831838,0.20428743958473206
kitchen,wallet,2371.106926360997,0.13372211158275604
kitchen,car,2144.5511282330845,0.17791275680065155
kitchen,bottle,1720.5975490966812,0.2477039098739624
kitchen,backpack,1835.6638694946305,0.17065420746803284
kitchen,cat,2045.4110897625942,0.12718060612678528
kitchen,teapot,1770.402447156841,0.12723396718502045
kitchen,duck,1279.2088641119226,0.32389160990715027
kitchen,llama,2534.585068318993,0.0793125256896019
kitchen,overall,1908.3401975115576,0.16936959996819495
bedroom,clock,1518.4930294490805,0.2235642522573471
bedroom,wolf,1504.4167574206367,0.1580214500427246
bedroom,wallet,1820.5208535909333,0.07475926727056503
bedroom,car,2288.5400566196913,0.16951589286327362
bedroom,bottle,1968.256591765341,0.10456416755914688
bedroom,backpack,1670.7977247235976,0.17093892395496368
bedroom,cat,1829.6393751578871,0.15306930243968964
bedroom,teapot,1615.8736771563745,0.18487800657749176
bedroom,duck,1866.6712507145457,0.21937046945095062
bedroom,llama,1760.0517467869358,0.11457593739032745
bedroom,overall,1784.3261063385023,0.15732576698064804
forest_painting,clock,2515.9578765316546,0.14999529719352722
forest_painting,wolf,2349.4662674702704,0.22407269477844238
forest_painting,wallet,2811.636742126444,0.030025381594896317
forest_painting,car,2282.1398002897367,0.17310792207717896
forest_painting,bottle,2274.700093030351,0.24590833485126495
forest_painting,backpack,2432.840828385568,0.2948213219642639
forest_painting,cat,2533.5217125849013,0.2751031517982483
forest_painting,teapot,2529.8187859172467,0.22440312802791595
forest_painting,duck,2447.150937306593,0.16802789270877838
forest_painting,llama,2484.089075253243,0.07734126597642899
forest_painting,overall,2466.132211889601,0.18628063909709452
edit,overall,2181.175619118776,0.18745943854252498
