prompt-type,target-name,avg-fid,avg-clip
basic,clock,(941.4211706454598-0.12308046966791153j),0.45452234148979187
basic,wolf,(638.9109772611737-0.08048377186059952j),0.44974517822265625
basic,wallet,(1346.5301824226626-0.12523606419563293j),0.3050018548965454
basic,car,(965.04139767183-0.21716615557670593j),0.4361729621887207
basic,bottle,(1001.3522131180544-0.0944976955652237j),0.38113975524902344
basic,backpack,(847.8433313060232-0.12191919982433319j),0.4552869200706482
basic,cat,(1250.29848820997-0.35825639963150024j),0.46911758184432983
basic,teapot,(895.947858655858-0.22815459966659546j),0.472147136926651
basic,duck,(945.3867533876073-0.31785064935684204j),0.5767337083816528
basic,llama,(1386.7386230139527-0.1843414306640625j),0.38589179515838623
basic,overall,(1021.9470995692591-0.18509864360094072j),0.4385759234428406
forest,clock,(2903.8638201016583-0.3237491846084595j),0.10282190144062042
forest,wolf,(2620.7790312530124-0.14929580688476562j),0.1519426554441452
forest,wallet,(3406.7470106242836-0.3932753801345825j),0.10210325568914413
forest,car,(2757.4195821592584-0.12090194225311279j),0.17291472852230072
forest,bottle,(2543.1139869489853-0.19903983175754547j),0.14904718101024628
forest,backpack,(2217.333564495915-0.1887853443622589j),0.3148399293422699
forest,cat,(2561.978600428498-0.2321425974369049j),0.27384257316589355
forest,teapot,(2614.9057605113485-0.15535470843315125j),0.2077392190694809
forest,duck,(2736.910541649573-0.13788843154907227j),0.1498558074235916
forest,llama,(2907.5483864473645-0.08768343925476074j),0.07555172592401505
forest,overall,(2727.06002846199-0.19881166666746142j),0.17006589770317077
city,clock,(1965.552017211914-0.10756149888038635j),0.11716075241565704
city,wolf,(2613.77485211358-0.1329444944858551j),0.11224489659070969
city,wallet,(2735.8443665655795-0.19164171814918518j),0.09196387231349945
city,car,(2301.400203504192-0.20467396080493927j),0.0862361490726471
city,bottle,(2765.273116163502-0.2380295842885971j),0.06700801849365234
city,backpack,(3309.260521429256-0.20392504334449768j),0.126015305519104
city,cat,(1837.9609297358875-0.2730996012687683j),0.21243758499622345
city,teapot,(2635.93494032092-0.11980417370796204j),0.17898158729076385
city,duck,(2582.7260485626757-0.21062371134757996j),0.12584006786346436
city,llama,(2382.5665451437235-0.17866188287734985j),0.14478449523448944
city,overall,(2513.029354075123-0.1860965669155121j),0.12626727297902107
desert,clock,(2043.3102559809668-0.10708802193403244j),0.14015285670757294
desert,wolf,(2028.4240574038122-0.21915987133979797j),0.2898021638393402
desert,wallet,(2338.5873079561607-0.3435709476470947j),0.14927923679351807
desert,car,(1978.1463746437803-0.2870213985443115j),0.20764784514904022
desert,bottle,(2380.7783901370276-0.18924812972545624j),0.1281013786792755
desert,backpack,(2216.8718421616504-0.13043878972530365j),0.12227101624011993
desert,cat,(2475.4806439155363-0.20008519291877747j),0.17907296121120453
desert,teapot,(2426.329152812774-0.2307542860507965j),0.16969144344329834
desert,duck,(2381.255601427998-0.1783006489276886j),0.19178800284862518
desert,llama,(2300.4652757366566-0.19681015610694885j),0.17125390470027924
desert,overall,(2256.9648902176364-0.2082477442920208j),0.17490608096122742
painting,clock,(1987.5229712866749-0.2024252712726593j),0.21258054673671722
painting,wolf,(2305.9984404908355-0.255217969417572j),0.19677285850048065
painting,wallet,(2006.9750452497974-0.5170279741287231j),0.20109803974628448
painting,car,(2154.670558914546-0.1636694371700287j),0.15314161777496338
painting,bottle,(2167.720765905109-0.21752679347991943j),0.15147386491298676
painting,backpack,(2599.754144762308-0.68636155128479j),0.28704577684402466
painting,cat,(2129.4288948982867-0.3478267192840576j),0.22396878898143768
painting,teapot,(2251.043033861555-0.3027798533439636j),0.22020697593688965
painting,duck,(1901.062646548995-0.2708017826080322j),0.16984565556049347
painting,llama,(2170.3169980722014-0.3776476979255676j),0.1813644915819168
painting,overall,(2167.449349999031-0.3341285049915314j),0.1997498616576195
field,clock,(2089.5335418619215-0.19138222932815552j),0.11439201980829239
field,wolf,(1450.7233180493095-0.13192258775234222j),0.15226362645626068
field,wallet,(2173.894267101554-0.2641068696975708j),0.09306376427412033
field,car,(2180.5118536399823-0.17764239013195038j),0.12551632523536682
field,bottle,(2312.222953508175-0.15385493636131287j),0.09550502896308899
field,backpack,(2087.9559580010973-0.18838423490524292j),0.18375761806964874
field,cat,(1846.9590334731947-0.1853291392326355j),0.17645536363124847
field,teapot,(1857.9548200334102-0.15942390263080597j),0.13046975433826447
field,duck,(1977.795657632072-0.1962800770998001j),0.2114967405796051
field,llama,(1731.850659761636-0.17737071216106415j),0.09788013994693756
field,overall,(1970.9402063062353-0.18256970793008806j),0.13808003813028336
elmo,clock,(1387.8632614282105-0.19532465934753418j),0.33872219920158386
elmo,wolf,(1154.0918505067857-0.12421596050262451j),0.2335011065006256
elmo,wallet,(1714.2466501756717-0.2294222116470337j),0.4262450337409973
elmo,car,(1677.34372542665-0.14616794884204865j),0.1991564929485321
elmo,bottle,(1254.8461935971318-0.13264521956443787j),0.45421043038368225
elmo,backpack,(1942.391264210837-0.24536602199077606j),0.3189452886581421
elmo,cat,(1279.5808659994836-0.26434358954429626j),0.2966403663158417
elmo,teapot,(1529.5976727098787-0.19285382330417633j),0.43753519654273987
elmo,duck,(1469.4285813978095-0.18078386783599854j),0.26325225830078125
elmo,llama,(1155.9962902116968-0.15093499422073364j),0.3382974863052368
elmo,overall,(1456.5386355664157-0.186205829679966j),0.3306505858898163
kitchen,clock,(1821.498974800008-0.10967959463596344j),0.06099957227706909
